Symbol,Name,New Symbol
C52,Comfortdelgro Corporation Ltd,C52.SI
Z74,Singtel,Z74.SI
M44U,Mapletree Logistics Trust,M44U.SI
U11,United Overseas Bank Ltd,U11.SI
BN4,Keppel Corporation Limited,BN4.SI
C6L,Singapore Airlines Ltd,C6L.SI
S63,Singapore Tech Engineering Ltd,S63.SI
C07,Jardine Cycle & Carriage Ltd,C07.SI
O39,Oversea-chinese Banking Corp,O39.SI
A17U,Ascendas Real Estate Inv Trust,A17U.SI
N2IU,Mapletree Commercial Trust,N2IU.SI
G13,Genting Singapore Plc,G13.SI
D05,Dbs Group Holdings Ltd,D05.SI
BS6,Yangzijiang Shipbldg Hldgs Ltd,BS6.SI
Y92,Thai Beverage Public Co Ltd,Y92.SI
S58,Sats Ltd.,S58.SI
C38U,Capitamall Trust,C38U.SI
F34,Wilmar International Limited,F34.SI
U96,Sembcorp Industries Ltd,U96.SI
S68,Singapore Exchange Limited,S68.SI
U14,Uol Group Limited,U14.SI
V03,Venture Corporation Limited,V03.SI
J36,Jardine Matheson Hldgs Ltd,J36.SI
C09,City Developments Limited,C09.SI
H78,Hongkong Land Holdings Limited,H78.SI
D01,Dairy Farm Int'l Holdings Ltd,D01.SI
9CI,Capitalandinvest,9CI.SI
AJBU,Keppel Dc Reit,AJBU.SI
BUOU,Frasers Logistics & Ind Trust,BUOU.SI
ME8U,Mapletree Industrial Trust,ME8U.SI